Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jan/15;FNDE;153173 / 15253;2.604.077.590
jan/15;INCRA;373001 / 37201;181.456.016
jan/15;SENAI;33.564.543/0001-90;219.119.330
jan/15;SESI;33.641.358/0001-52;313.370.139
jan/15;SENAC;33.469.172/0001-68;334.005.249
jan/15;SESC;33.469.164/0001-11;597.447.338
jan/15;SEBRAE;00.330.854/0001-45;428.247.534
jan/15;EMBRATUR;35.842.428/0001-66;0
jan/15;DPC;852001 / 00001;20.988.896
jan/15;ANAC;122002 / 00001;30.221.162
jan/15;SENAR;37.138.245/0001-90;40.999.819
jan/15;SEST;73.471.989/0001-95;57.041.322
jan/15;SENAT;73.471.963/0001-47;37.293.612
jan/15;SESCOOP;03.087.543/0001-86;39.616.737
jan/15;SDR;420013 / 00001;32.001.111
jan/15;APEX-BR;05.507.500/0001-38;62.241.408
jan/15;ABDI;07.200.966/0001-11;8.917.017
fev/15;FNDE;153173 / 15253;1.526.976.201
fev/15;INCRA;373001 / 37201;106.202.613
fev/15;SENAI;33.564.543/0001-90;135.090.247
fev/15;SESI;33.641.358/0001-52;193.889.080
fev/15;SENAC;33.469.172/0001-68;199.378.928
fev/15;SESC;33.469.164/0001-11;355.385.173
fev/15;SEBRAE;00.330.854/0001-45;253.753.729
fev/15;EMBRATUR;35.842.428/0001-66;0
fev/15;DPC;852001 / 00001;12.376.606
fev/15;ANAC;122002 / 00001;17.622.443
fev/15;SENAR;37.138.245/0001-90;39.006.482
fev/15;SEST;73.471.989/0001-95;34.810.740
fev/15;SENAT;73.471.963/0001-47;22.063.632
fev/15;SESCOOP;03.087.543/0001-86;22.396.117
fev/15;SDR;420013 / 00001;18.728.858
fev/15;APEX-BR;05.507.500/0001-38;36.879.718
fev/15;ABDI;07.200.966/0001-11;5.283.568
mar/15;FNDE;153173 / 15253;1.497.863.152
mar/15;INCRA;373001 / 37201;104.401.840
mar/15;SENAI;33.564.543/0001-90;130.078.300
mar/15;SESI;33.641.358/0001-52;186.597.391
mar/15;SENAC;33.469.172/0001-68;194.608.000
mar/15;SESC;33.469.164/0001-11;350.007.688
mar/15;SEBRAE;00.330.854/0001-45;250.133.611
mar/15;EMBRATUR;35.842.428/0001-66;0
mar/15;DPC;852001 / 00001;12.688.337
mar/15;ANAC;122002 / 00001;17.651.320
mar/15;SENAR;37.138.245/0001-90;38.444.869
mar/15;SEST;73.471.989/0001-95;35.367.894
mar/15;SENAT;73.471.963/0001-47;22.303.291
